249,0.01,-500.0
250,0.01,-500.0
251,0.01,-365.0
252,0.01,-500.0
253,0.01,-500.0
254,0.01,-500.0
255,0.01,-288.0
256,0.01,-500.0
257,0.01,-465.0
258,0.01,-500.0
259,0.01,-500.0
260,0.01,-238.0
261,0.01,-500.0
262,0.01,-500.0
263,0.01,-500.0
264,0.01,-500.0
265,0.01,-500.0
266,0.01,-500.0
267,0.01,-500.0
268,0.01,-500.0
269,0.01,-500.0
270,0.01,-500.0
271,0.01,-500.0
272,0.01,-500.0
273,0.01,-500.0
274,0.01,-500.0
275,0.01,-500.0
276,0.01,-500.0
277,0.01,-500.0
278,0.01,-500.0
279,0.01,-500.0
280,0.01,-500.0
281,0.01,-451.0
282,0.01,-500.0
283,0.01,-350.0
284,0.01,-500.0
285,0.01,-500.0
286,0.01,-458.0
287,0.01,-500.0
288,0.01,-298.0
289,0.01,-500.0
290,0.01,-500.0
291,0.01,-500.0
292,0.01,-500.0
293,0.01,-367.0
294,0.01,-412.0
295,0.01,-500.0
296,0.01,-500.0
297,0.01,-500.0
298,0.01,-347.0
299,0.01,-477.0
300,0.01,-500.0
301,0.01,-500.0
302,0.01,-500.0
303,0.01,-497.0
304,0.01,-201.0
305,0.01,-407.0
306,0.01,-500.0
307,0.01,-500.0
308,0.01,-500.0
309,0.01,-500.0
310,0.01,-500.0
311,0.01,-500.0
312,0.01,-498.0
313,0.01,-344.0
314,0.01,-390.0
315,0.01,-346.0
316,0.01,-445.0
317,0.01,-500.0
318,0.01,-392.0
319,0.01,-410.0
320,0.01,-429.0
321,0.01,-500.0
322,0.01,-500.0
323,0.01,-500.0
324,0.01,-317.0
325,0.01,-493.0
326,0.01,-500.0
327,0.01,-500.0
328,0.01,-500.0
329,0.01,-500.0
330,0.01,-500.0
331,0.01,-500.0
332,0.01,-500.0
333,0.01,-500.0
334,0.01,-500.0
335,0.01,-260.0
336,0.01,-500.0
337,0.01,-500.0
338,0.01,-500.0
339,0.01,-500.0
340,0.01,-500.0
341,0.01,-500.0
342,0.01,-497.0
343,0.01,-331.0
344,0.01,-500.0
345,0.01,-339.0
346,0.01,-500.0
347,0.01,-500.0
348,0.01,-500.0
349,0.01,-500.0
350,0.01,-396.0
351,0.01,-235.0
352,0.01,-360.0
353,0.01,-500.0
354,0.01,-500.0
355,0.01,-500.0
356,0.01,-500.0
357,0.01,-500.0
358,0.01,-500.0
359,0.01,-500.0
360,0.01,-500.0
361,0.01,-500.0
362,0.01,-309.0
363,0.01,-489.0
364,0.01,-349.0
365,0.01,-500.0
366,0.01,-500.0
367,0.01,-500.0
368,0.01,-464.0
369,0.01,-447.0
370,0.01,-498.0
371,0.01,-500.0
372,0.01,-500.0
373,0.01,-158.0
374,0.01,-457.0
375,0.01,-500.0
376,0.01,-343.0
377,0.01,-500.0
378,0.01,-420.0
379,0.01,-500.0
380,0.01,-435.0
381,0.01,-500.0
382,0.01,-500.0
383,0.01,-500.0
384,0.01,-500.0
385,0.01,-334.0
386,0.01,-500.0
387,0.01,-500.0
388,0.01,-500.0
389,0.01,-341.0
390,0.01,-500.0
391,0.01,-472.0
392,0.01,-500.0
393,0.01,-274.0
394,0.01,-488.0
395,0.01,-500.0
396,0.01,-480.0
397,0.01,-500.0
398,0.01,-500.0
399,0.01,-318.0
400,0.01,-500.0
401,0.01,-500.0
402,0.01,-500.0
403,0.01,-309.0
404,0.01,-500.0
405,0.01,-500.0
406,0.01,-500.0
407,0.01,-500.0
408,0.01,-347.0
409,0.01,-367.0
410,0.01,-500.0
411,0.01,-493.0
412,0.01,-318.0
413,0.01,-500.0
414,0.01,-500.0
415,0.01,-468.0
416,0.01,-500.0
417,0.01,-238.0
418,0.01,-500.0
419,0.01,-500.0
420,0.01,-500.0
421,0.01,-500.0
422,0.01,-500.0
423,0.01,-500.0
424,0.01,-368.0
425,0.01,-454.0
426,0.01,-500.0
427,0.01,-500.0
428,0.01,-500.0
429,0.01,-500.0
430,0.01,-121.0
431,0.01,-269.0
432,0.01,-500.0
433,0.01,-414.0
434,0.01,-500.0
435,0.01,-500.0
436,0.01,-500.0
437,0.01,-500.0
438,0.01,-500.0
439,0.01,-362.0
440,0.01,-461.0
441,0.01,-500.0
442,0.01,-500.0
443,0.01,-500.0
444,0.01,-500.0
445,0.01,-500.0
446,0.01,-500.0
447,0.01,-416.0
448,0.01,-500.0
449,0.01,-500.0
450,0.01,-500.0
451,0.01,-500.0
452,0.01,-428.0
453,0.01,-500.0
454,0.01,-500.0
455,0.01,-398.0
456,0.01,-500.0
457,0.01,-500.0
458,0.01,-500.0
459,0.01,-500.0
460,0.01,-500.0
461,0.01,-500.0
462,0.01,-500.0
463,0.01,-370.0
464,0.01,-500.0
465,0.01,-438.0
466,0.01,-500.0
467,0.01,-500.0
468,0.01,-370.0
469,0.01,-500.0
470,0.01,-500.0
471,0.01,-249.0
472,0.01,-500.0
473,0.01,-500.0
474,0.01,-390.0
475,0.01,-500.0
476,0.01,-500.0
477,0.01,-349.0
478,0.01,-500.0
479,0.01,-500.0
480,0.01,-500.0
481,0.01,-500.0
482,0.01,-500.0
483,0.01,-500.0
484,0.01,-475.0
485,0.01,-405.0
486,0.01,-500.0
487,0.01,-233.0
488,0.01,-500.0
489,0.01,-500.0
490,0.01,-500.0
491,0.01,-500.0
492,0.01,-500.0
493,0.01,-500.0
494,0.01,-500.0
495,0.01,-411.0
496,0.01,-500.0
497,0.01,-500.0
498,0.01,-500.0
499,0.01,-500.0
500,0.01,-500.0
